Iout (VM=-0.15) X,Iout (VM=-0.15) Y,Iout (VM=-0.075) X,Iout (VM=-0.075) Y,Iout (VM=0) X,Iout (VM=0) Y,Iout (VM=0.075) X,Iout (VM=0.075) Y,Iout (VM=0.15) X,Iout (VM=0.15) Y
-0.2478000000000009,2.64228328584186e-09,-0.2478000000000009,7.641426040051887e-10,-0.2478000000000009,5.605311288501348e-10,-0.2478000000000009,5.417672469155108e-10,-0.2478000000000009,5.398842077738331e-10
-0.2472000000000009,2.677270391471048e-09,-0.2472000000000009,7.68450283706428e-10,-0.2472000000000009,5.60914813087285e-10,-0.2472000000000009,5.417957184575637e-10,-0.2472000000000009,5.3988057546004e-10
-0.2466000000000009,2.712718091098024e-09,-0.2466000000000009,7.728413307864653e-10,-0.2466000000000009,5.613060116739644e-10,-0.2466000000000009,5.418248840160852e-10,-0.2466000000000009,5.398770217283514e-10
-0.2460000000000009,2.748628482286359e-09,-0.2460000000000009,7.77317335477791e-10,-0.2460000000000009,5.617048692193459e-10,-0.2460000000000009,5.4185475640727e-10,-0.2460000000000009,5.398735477347021e-10
-0.245400000000001,2.785003541869049e-09,-0.245400000000001,7.818799162395117e-10,-0.245400000000001,5.621115328680436e-10,-0.245400000000001,5.418853488202466e-10,-0.245400000000001,5.398701545123273e-10
-0.244800000000001,2.821845121014413e-09,-0.244800000000001,7.865307202926843e-10,-0.244800000000001,5.625261531399864e-10,-0.244800000000001,5.419166747619937e-10,-0.244800000000001,5.3986684352637e-10
-0.244200000000001,2.859154941412065e-09,-0.244200000000001,7.912714244154097e-10,-0.244200000000001,5.629488830401528e-10,-0.244200000000001,5.419487478378259e-10,-0.244200000000001,5.398636158012369e-10
-0.243600000000001,2.896934589044673e-09,-0.243600000000001,7.961037344985087e-10,-0.243600000000001,5.633798787114374e-10,-0.243600000000001,5.419815823562283e-10,-0.243600000000001,5.39860472424713e-10
-0.243000000000001,2.935185511404183e-09,-0.243000000000001,8.010293865839046e-10,-0.243000000000001,5.63819299509764e-10,-0.243000000000001,5.42015192107662e-10,-0.243000000000001,5.398574147675058e-10
-0.242400000000001,2.973909011398808e-09,-0.242400000000001,8.060501471924262e-10,-0.242400000000001,5.642673075318414e-10,-0.242400000000001,5.420495919603149e-10,-0.242400000000001,5.398544441551955e-10
-0.241800000000001,3.013106243026784e-09,-0.241800000000001,8.111678130110562e-10,-0.241800000000001,5.647240682762425e-10,-0.241800000000001,5.420847964308512e-10,-0.241800000000001,5.398515618587513e-10
-0.241200000000001,3.052778206552685e-09,-0.241200000000001,8.163842125542901e-10,-0.241200000000001,5.65189750336302e-10,-0.241200000000001,5.421208209336955e-10,-0.241200000000001,5.398487690098085e-10
-0.240600000000001,3.092925743594332e-09,-0.240600000000001,8.217012053509965e-10,-0.240600000000001,5.656645257945383e-10,-0.240600000000001,5.421576805617837e-10,-0.240600000000001,5.398460672620886e-10
-0.240000000000001,3.133549532208488e-09,-0.240000000000001,8.271206825179289e-10,-0.240000000000001,5.661485698127501e-10,-0.240000000000001,5.421953911605589e-10,-0.240000000000001,5.398434577952499e-10
-0.2394000000000011,3.17465008198961e-09,-0.2394000000000011,8.326445679396539e-10,-0.2394000000000011,5.666420612614713e-10,-0.2394000000000011,5.42233968729902e-10,-0.2394000000000011,5.398409419903466e-10
-0.2388000000000011,3.216227728687576e-09,-0.2388000000000011,8.382748176198505e-10,-0.2388000000000011,5.671451822414584e-10,-0.2388000000000011,5.422734293557902e-10,-0.2388000000000011,5.398385211834201e-10
-0.2382000000000011,3.258282629634344e-09,-0.2382000000000011,8.440134205900447e-10,-0.2382000000000011,5.676581184149244e-10,-0.2382000000000011,5.42313789822261e-10,-0.2382000000000011,5.398361971279505e-10
-0.2376000000000011,3.300814754819904e-09,-0.2376000000000011,8.49862398917555e-10,-0.2376000000000011,5.681810592770289e-10,-0.2376000000000011,5.423550669991254e-10,-0.2376000000000011,5.398339712839939e-10
-0.2370000000000011,3.343823860872069e-09,-0.2370000000000011,8.558238085597399e-10,-0.2370000000000011,5.687141978444813e-10,-0.2370000000000011,5.423972781312955e-10,-0.2370000000000011,5.398318447593882e-10
-0.2364000000000011,3.387309438405346e-09,-0.2364000000000011,8.618997390548976e-10,-0.2364000000000011,5.692577308269276e-10,-0.2364000000000011,5.424404410072353e-10,-0.2364000000000011,5.398298195240964e-10
-0.2358000000000011,3.431270804521174e-09,-0.2358000000000011,8.6809231446755e-10,-0.2358000000000011,5.698118591610041e-10,-0.2358000000000011,5.424845731219211e-10,-0.2358000000000011,5.398278969147514e-10
-0.2352000000000011,3.47570713668528e-09,-0.2352000000000011,8.744036928660182e-10,-0.2352000000000011,5.703767872333154e-10,-0.2352000000000011,5.425296931296245e-10,-0.2352000000000011,5.398260785615293e-10
-0.2346000000000011,3.520617418413584e-09,-0.2346000000000011,8.808360678354933e-10,-0.2346000000000011,5.709527237111522e-10,-0.2346000000000011,5.425758194064601e-10,-0.2346000000000011,5.398243663042441e-10
-0.2340000000000012,3.566000421021472e-09,-0.2340000000000012,8.873916676328361e-10,-0.2340000000000012,5.715398811770943e-10,-0.2340000000000012,5.426229710403002e-10,-0.2340000000000012,5.39822761559252e-10
